RowHeader|vs.G_OperatingRevenueAccount|vs.D_G_OperatingRevenueAccount|vs.G_EPSAccount|vs.D_G_EPSAccount|vs.D_GrossMarginAccount|vs.D_OperatingMarginAccount|vs.D_EBITDAMarginAccount|vs.D_NetMarginAccount|vs.ROAAccount|vs.D_ROAAccount|vs.ROEAccount|vs.D_ROEAccount|vs.AssetTOAccount|vs.D_AssetTOAccount|vs.D_R_NetInterestExpense_OperatingProfitAccount|vs.D_R_Debt_EquityAccount|vs.D_CurrentRatioIAccount|vs.D_R_Cash_WCAccount|vs.D_R_Liabilities_AssetsAccount|vs.D_CCCAccount|vs.D_ResearchDevelopmentIntensityAccount
ai122841.01|1.05192394913358344688|0.70707308288361514492|0.44115327647928331833|0.15836698860433939817|-0.11463043650476535673|-0.19282457540007932884|-0.59004187972456534350|0.20465730383924810032|0.06394499273381251681|0.27367750934535711727|-0.02401584372446699533|0.23471928328754912418|-0.88664906395962539420|0.57563313706099505929|0.02782381565337642068|-0.26818994770510395931|0.61003020179868627793|0.89280204064412982401|-0.25031131484318341895|-0.20736302211734533585|-0.24045752173573292643
ai030662.01|0.50417986891056765231|0.55890898627263529974|0.65668251352041562274|0.14610204489440387077|-0.51913198337929800097|-0.19329583014632595317|-0.18675747354793667543|0.02209282634723667982|0.56033622507997515871|0.34076745616817571971|-0.76245847236088981624|0.07771626704811869513|-0.75534962012014872368|1.03942404029705603996|-0.45009984999108820780|-0.31448215657736594553|2.38095238095238093123|-0.14100600158461035205|0.24620307028256374626|1.54433687555791099300|-0.30492104956892995826
ai187363.01|-1.16181614048544856743|-0.47169292421265612836|-2.34518461341599548931|-2.21482047358172362550|-0.38562694176571860050|-1.59304513813725434623|-1.73357722447913209507|-0.73866991979344776009|-1.61517710969616001826|-1.24465050297991886019|-1.41234972444076145592|-1.13978461862941515825|0.51381577475703943403|1.30720734362749535507|-0.03313941248268294920|2.00471939520803132950|1.37218254031823572170|-0.14100600158461035205|2.20137704746228113351|0.50615979713084036096|-0.15225531240014683609
ai029609.01|0.16305273229199321317|-0.74346924616904630501|0.05956165909249173246|-0.09023521831741139476|-0.87608328941762314557|-0.17380464222651470507|-0.27705460808839882381|0.08517657232694830771|0.21161172515476206479|-0.01906284302492590801|-0.16569959402091774536|-0.04477860648021639300|-0.26194629070754793521|-0.42201600364760621931|0.07796884983816407266|-0.66758962439434454961|-0.93205367030588948118|-0.20673451332965572802|-1.63971544362522436700|0.38134956764577759847|-0.28319484881473339088
ai014477.01|-0.23747421244894859060|1.11139404597632318605|0.30624554436759987563|0.26698562903597566898|0.00392758466946614617|0.51991584175446603489|0.33486824970449763361|0.47583205879771417468|0.15699216133650364946|0.58847130278753045918|0.52904715188678030913|0.69397748220996946511|-0.65328575024151125383|0.95985949396862257910|0.60220549862087013882|0.47509749864975958644|1.97354757328728092070|-0.14100600158461035205|0.33707345891114232073|-0.00334531997423160275|-0.15225531240014683609
ai064891.01|-1.47504002873607076296|-0.52585566401206351728|-0.66421005613629879871|0.07931176687688992755|-0.41784550595731334566|-0.59453467928631609229|-0.34011994328538008858|-0.10961730232375248295|0.30455564776933341520|-0.42454111969618202327|-0.12964499475305973908|-0.19743751695857386652|0.05086388065260526864|-1.02137936666163864352|-0.23645353807808125457|-0.24249119442676778102|-0.01500223031027158628|0.07479770959583340040|-0.01755205008995973717|1.29455996785529747761|-0.15225531240014683609
ai028930.02|-0.04116155526251785018|0.01889857722168896206|0.39294492321890434061|-0.01626240889951076699|2.38081629684162976446|0.21316057362328860725|0.08250902081551220180|0.16714428116056045948|1.47244906072927661533|0.71548268185372543293|-0.76245847236088981624|0.07771626704811869513|1.84845495540707127624|2.07312738906538962524|-0.23864486830828721131|-0.31448215657736594553|0.94596297978789178895|-0.14100600158461035205|2.15107837796122725038|-0.20736302211734533585|-0.15225531240014683609
ai015044.01|1.67144681724670429723|-0.67821109030484449942|-0.00962994758712003296|0.13578571591115617956|0.53728475910638229252|-0.17881285074821012815|0.97941770849635823026|0.60088795795399463362|-2.02760444085134050596|0.10660136885219093084|-1.91763624578057689796|-0.32454149126142217696|-0.82468021101315491794|1.06018716103962007402|-0.03313941248268294920|0.33165352072180326326|0.10352350445702331039|-0.07584434894651220782|0.65020642948380169557|-0.20736302211734533585|1.14770218094795839470
ai007750.01|0.28720209538679702943|0.08354066725402815863|-0.38902467559790221419|-0.66451263668218918390|-2.20764768085139717613|0.14406986579216715660|0.06929071248289664364|0.02728871734074016231|-0.77837256810353450120|0.02790353551705400392|-0.52222176169503053966|-0.68471506074705579259|-0.27600739817226110917|-0.48538920876068525345|-0.99446859774968932033|-2.36625135934212948996|0.22417838702998452161|-0.86293504218343142220|-1.86570401821452835911|0.94782572298789180554|-0.15225531240014683609
ai028191.01|0.01893185952355531249|0.59561454693959448026|0.63889218740129538610|0.07611668790795401984|0.97565853556284154458|0.81098729525717005995|0.84750170956940662492|0.65707933067358170742|-0.90545743033697478896|0.15413401307006033281|0.09094697208923629983|0.37735112211924892733|-1.57441057428619024527|0.36363154190502849916|0.36956997029693461343|-0.24728988417991870641|-0.21514048743040045664|-0.14100600158461035205|-0.35903188405268698924|-0.19011711295008523748|-0.15225531240014683609
